TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,NB_DOCUMENT,B_DAYS_CREDIT,B_CREDIT_DAY_OVERDUE,B_AMT_CREDIT_MAX_OVERDUE,B_CNT_CREDIT_PROLONG,B_AMT_CREDIT_SUM,B_AMT_CREDIT_SUM_DEBT,B_AMT_CREDIT_SUM_OVERDUE,B_AMT_ANNUITY,BB_MIN_STATUS,BB_MAX_STATUS,PA_AMT_ANNUITY,PA_AMT_CREDIT,PA_DAYS_DECISION,PA_CNT_PAYMENT,CCB_SK_DPD,IP_DUE_DAY_PAYMENT,IP_DIFF_PAYMENT,PCB_SK_DPD_DEF
0,Cash loans,F,N,Y,2,198000.0,641173.5,23157.0,553500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01885,47,-768,Private service staff,4.0,2,2,0.8427634659543568,0.6816988025574287,0.7544061731797895,0.0,0.0,0.0,0.0,-2411.0,1,2639,0.0,0.0,0,27720.0,0.0,0.0,16290.0,0.0,0.0,41918.495,965679.5,23,31.555555555555557,0.0,20.948051948051948,-687.5251948051948,0.0
0,Cash loans,M,Y,Y,1,540000.0,675000.0,34596.0,675000.0,Commercial associate,Higher education,Married,House / apartment,0.026392,51,-6977,Managers,3.0,2,2,0.3115099249880457,0.7133545848531052,0.3092753558842053,2.0,0.0,2.0,0.0,-1285.0,1,194,0.0,8543.97,0,195436.35,0.0,0.0,24993.0,0.0,0.0,25907.202692307692,225695.22499999998,213,12.461538461538462,0.0,14.368421052631579,0.0,0.0
0,Cash loans,F,N,Y,0,270000.0,891072.0,45625.5,720000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,37,-1169,Realty agents,1.0,1,1,0.3394026084270504,0.7079724741176917,0.4525335592581747,2.0,1.0,2.0,1.0,-734.0,1,875,0.0,0.0,0,274500.0,267232.5,0.0,81000.0,0.0,0.0,25057.575,442028.25,741,12.0,0.0,5.854838709677419,4064.902258064516,0.0
0,Cash loans,F,Y,Y,1,202500.0,260725.5,16789.5,198000.0,Working,Secondary / secondary special,Separated,House / apartment,0.01885,44,-4375,Laborers,2.0,2,2,0.6470448716896019,0.7464864055627681,0.7394117535524816,6.0,0.0,6.0,0.0,-1782.0,1,861,0.0,0.0,0,26995.5,0.0,0.0,0.0,0.0,0.0,14045.714999999998,263916.0,829,22.0,0.0,3.8333333333333335,0.0,0.0
0,Cash loans,F,N,Y,0,247500.0,755190.0,36459.0,675000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.008575,44,-8647,Medicine staff,2.0,2,2,0.6177157988717764,0.6605593694772599,0.2115507642052577,0.0,0.0,0.0,0.0,-2415.0,1,684,0.0,0.0,0,135000.0,133771.5,0.0,13500.0,0.0,0.0,21082.68,557758.5,630,20.0,0.4117647058823529,3.778688524590164,-879.993442622951,0.0
0,Cash loans,F,N,Y,1,315000.0,1288350.0,37800.0,1125000.0,Commercial associate,Higher education,Married,House / apartment,0.020713,42,-4940,Accountants,3.0,3,2,0.7290899091709767,0.5098519541101603,0.6754132910917112,1.0,0.0,1.0,0.0,-1020.0,1,548,0.0,0.0,0,592692.12,393051.0,0.0,47250.0,0.0,0.0,32829.277500000004,378883.5,140,15.0,0.0,7.0,-1905.145,0.0
0,Cash loans,M,Y,Y,0,337500.0,876078.0,49050.0,765000.0,Commercial associate,Higher education,Single / not married,House / apartment,0.072508,36,-225,Drivers,1.0,1,1,0.667166655817305,0.7494092451416423,0.3376727217405312,0.0,0.0,0.0,0.0,-382.0,0,648,0.0,0.0,0,109032.885,0.0,0.0,17100.0,0.0,0.0,22275.495,191660.625,203,3.0,0.0,3.7857142857142856,0.0,0.0
0,Cash loans,F,N,Y,1,225000.0,1483231.5,51687.0,1354500.0,Working,Secondary / secondary special,Married,House / apartment,0.010147,55,-1699,Accountants,3.0,2,2,0.8530803639689652,0.7573276838423868,0.1309471529360181,2.0,1.0,2.0,0.0,-1864.0,1,136,0.0,0.0,0,270000.0,168169.5,0.0,10750.005000000001,0.0,0.0,9826.9245,143795.57142857142,136,12.0,0.0,12.782608695652174,-423.40108695652185,0.0
0,Cash loans,F,N,Y,0,180000.0,187704.0,9256.5,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0196889999999999,24,-482,Sales staff,2.0,2,2,0.3418505435993493,0.4794306372473876,0.0516817674367294,0.0,0.0,0.0,0.0,-930.0,1,72,0.0,892.40625,0,45372.375,23925.375,0.0,8679.285,0.0,0.3333333333333333,5795.02125,70986.6,11,24.75,0.0,5.795698924731183,-99.23129032258066,0.0
0,Cash loans,M,N,Y,0,225000.0,451804.5,35824.5,369000.0,State servant,Secondary / secondary special,Married,House / apartment,0.01885,45,-1480,Managers,2.0,2,2,0.5725847271056428,0.6803211845067775,0.4489622731076524,2.0,1.0,2.0,0.0,-745.0,0,296,0.0,0.0,0,106942.59,12442.5,0.0,10694.25,0.0,0.0,17247.982500000002,274355.6785714286,144,20.6,0.021739130434782608,4.648535564853557,-1162.202573221757,0.33962264150943394
