CODE_GENDER_M,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_Y,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,NB_DOCUMENT,B_DAYS_CREDIT,B_CREDIT_DAY_OVERDUE,B_AMT_CREDIT_MAX_OVERDUE,B_CNT_CREDIT_PROLONG,B_AMT_CREDIT_SUM,B_AMT_CREDIT_SUM_DEBT,B_AMT_CREDIT_SUM_OVERDUE,B_AMT_ANNUITY,BB_MIN_STATUS,BB_MAX_STATUS,PA_AMT_ANNUITY,PA_AMT_CREDIT,PA_DAYS_DECISION,PA_CNT_PAYMENT,CCB_SK_DPD,IP_DUE_DAY_PAYMENT,IP_DIFF_PAYMENT,PCB_SK_DPD_DEF
0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2,315000.0,1575000.0,49018.5,1575000.0,0.026392,38,-1866,4.0,2,2,0.5257339776824489,0.5096770801723647,0.6127042441012546,0.0,0.0,0.0,0.0,-1805.0,1,269,0.0,0.0,0,128971.08,27576.0,0.0,12897.09,0.0,0.0,8091.585,92920.5,531,11.333333333333334,0.0,3.0,-622.5507079646018,0.0
0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,162000.0,45000.0,5337.0,45000.0,0.018634,28,-2625,3.0,2,2,0.2105622076337031,0.4448475614048825,0.1940678276718812,4.0,0.0,4.0,0.0,-1423.0,1,143,0.0,0.0,0,535500.0,506342.25,0.0,26331.254999999997,0.0,0.0,10176.740999999998,189582.26086956522,128,23.7,0.034482758620689655,7.124223602484472,0.0,0.1836734693877551
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,180000.0,296280.0,21690.0,225000.0,0.032561,37,-1007,2.0,1,1,0.3441652580978948,0.6844067238529257,0.2636468134452008,2.0,0.0,2.0,0.0,-317.0,0,17,0.0,0.0,0,124195.68,124195.68,0.0,10031.76,0.0,0.0,4689.7425,56094.75,318,6.0,2.3636363636363638,2.975,110.18587499999998,0.0
0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,202500.0,407520.0,26041.5,360000.0,0.00702,53,-4739,1.0,2,2,0.5831178293057412,0.6350278467719062,0.3062022983135042,0.0,0.0,0.0,0.0,-2154.0,1,170,0.0,0.0,0,286766.28,183357.0,0.0,23897.205,0.0,0.0,17240.58,177126.0,174,15.5,0.0379746835443038,2.7613636363636362,0.0,0.0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,225000.0,431280.0,23526.0,360000.0,0.025164,30,-1883,3.0,2,2,0.339002380827429,0.3750732637427585,0.3474182272002641,5.0,0.0,5.0,0.0,-1616.0,1,370,0.0,0.0,0,324000.0,210753.0,0.0,32400.0,0.0,0.0,20675.6325,296440.26923076925,72,25.6,0.0,18.821428571428573,-1142.8714285714284,1.2222222222222223
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,157500.0,1125000.0,65313.0,1125000.0,0.028663,40,-6438,2.0,2,2,0.5193296128757853,0.5684200435668831,0.4066174366275036,0.0,0.0,0.0,0.0,-1364.0,1,318,0.0,0.0,0,1269297.63,1033218.0,0.0,35258.265,0.0,0.0,16964.749285714286,214324.7142857143,1026,12.571428571428571,0.0,3.0106951871657754,159.83735294117648,0.0
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,279000.0,630000.0,32296.5,630000.0,0.026392,41,-1685,2.0,2,2,0.5799234077822149,0.6990006602336026,0.622922000268356,6.0,0.0,6.0,0.0,-2297.0,1,748,0.0,0.0,0,585000.0,128317.5,0.0,16249.995,0.0,0.0,16376.030999999999,263039.4,692,13.6,0.0,5.217391304347826,0.0,0.0
1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,180000.0,67500.0,8140.5,67500.0,0.015221,32,-2612,2.0,2,2,0.3790738822416448,0.2731936266061187,0.2188590822283744,3.0,0.0,3.0,0.0,-1257.0,0,620,0.0,0.0,0,291016.5,215293.42500000002,0.0,10920.0,0.0,0.0,17295.470999999998,183543.54545454544,247,16.6,0.0,1.5962732919254659,-391.7602173913043,0.0898876404494382
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,180000.0,156384.0,18688.5,135000.0,0.022625,31,-2087,2.0,2,2,0.2826857378607877,0.4230110862786596,0.0938365970374978,0.0,0.0,0.0,0.0,-577.0,1,445,0.0,0.0,0,80181.36,49089.8925,0.0,5768.145,0.0,0.0,8448.765,59566.5,379,4.666666666666667,0.0,4.3088235294117645,-45.598235294117636,0.0
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,180000.0,400392.0,41157.0,360000.0,0.035792,44,-2632,2.0,2,2,0.6347068540021077,0.7830381148168827,0.5709165417729987,2.0,0.0,2.0,0.0,-2346.0,0,302,0.0,0.0,0,1896399.0,1499337.585,0.0,66321.0,0.0,0.0,33609.329999999994,614331.0,1036,11.333333333333334,0.0,2.257142857142857,6180.10392857143,0.0
0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,225000.0,1085058.0,52330.5,891000.0,0.0038179999999999,45,-3686,5.0,2,2,0.6372280857247977,0.5613630412628833,0.5638350489514956,0.0,0.0,0.0,0.0,-419.0,1,230,0.0,3210.75,0,115888.5,41802.75,0.0,9232.7625,0.0,0.125,16421.54625,162562.5,56,24.0,0.0,22.2,0.0,0.0
0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,90000.0,360000.0,25731.0,360000.0,0.015221,41,-3082,2.0,2,2,0.339795133559665,0.122859505202134,0.326475210066026,0.0,0.0,0.0,0.0,-1264.0,1,317,0.0,0.0,0,58500.0,64056.465,0.0,4050.0,0.0,0.0,14203.170000000002,243306.9642857143,211,20.727272727272727,0.0,4.038095238095238,-752.5054285714286,0.30275229357798167
0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,202500.0,135000.0,14175.0,135000.0,0.028663,27,-1270,1.0,2,2,0.3670380909445617,0.6713870508068898,0.3876253444214701,6.0,4.0,6.0,4.0,-2293.0,1,1715,0.0,0.0,0,297000.0,309409.875,0.0,19350.0,0.0,0.0,15861.705,173063.8125,271,9.666666666666666,0.0,4.384615384615385,-1267.4502197802196,0.32653061224489793
0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,135000.0,135000.0,16020.0,135000.0,0.028663,24,-115,1.0,2,2,0.3915699139580133,0.6054743086517351,0.2594676548211199,0.0,0.0,0.0,0.0,-880.0,1,174,0.0,0.0,0,74997.0,41725.5,0.0,6405.63,0.0,0.0,8471.16,111721.5,174,15.666666666666666,0.0,16.066666666666666,0.0,0.0
1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,225000.0,432990.0,34339.5,382500.0,0.018634,30,-542,3.0,2,2,0.1612752860762618,0.3521715316098029,0.2127563054543414,3.0,2.0,3.0,2.0,-767.0,0,633,0.0,0.0,0,310500.0,252076.5,0.0,31050.0,0.0,0.0,5351.415,28487.423076923078,22,7.666666666666667,0.0,3.774193548387097,-267.0706451612903,0.0
1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,337500.0,1350000.0,43681.5,1350000.0,0.0196889999999999,47,-3152,2.0,2,2,0.7846190258656609,0.6578229893376922,0.5316861425197883,5.0,1.0,5.0,0.0,-2379.0,0,1019,0.0,0.0,0,1075500.0,599409.225,0.0,27018.0,0.0,0.0,14506.7175,67781.25,2379,5.0,0.0,2.453333333333333,0.0,0.0
1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,162000.0,332946.0,17127.0,238500.0,0.010147,45,-3105,2.0,2,2,0.7081416629007508,0.0384266717944184,0.1402431837080297,0.0,0.0,0.0,0.0,-1162.0,1,641,0.0,1720.5075,0,122422.5,102759.21,0.0,8155.89,0.0,0.06493506493506493,15033.266999999998,186338.97562500002,278,25.2,0.0,14.233870967741936,1306.4516129032259,0.16049382716049382
1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,270000.0,646389.0,31225.5,558000.0,0.072508,49,-694,2.0,1,1,0.4395700072611405,0.6618721784739009,0.3706496323299817,1.0,0.0,1.0,0.0,-1242.0,0,1680,0.0,0.0,0,270000.0,247918.5,0.0,27000.0,0.0,0.0,9965.01,122121.54,416,8.0,0.0,6.9772727272727275,0.0,0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,288000.0,260640.0,31059.0,225000.0,0.02461,33,-4308,2.0,2,2,0.7689697678975334,0.6071707071877025,0.1974745115685422,0.0,0.0,0.0,0.0,-677.0,1,210,0.0,3.0,0,114663.0,38944.845,0.0,8136.329999999999,0.0,0.2857142857142857,21905.80875,305386.2,317,19.5,0.03409090909090909,7.0,-142.85714285714286,0.0
0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,202500.0,260640.0,27369.0,225000.0,0.031329,29,-177,2.0,2,2,0.4381920573041631,0.5845103441468734,0.7324033228040929,1.0,0.0,1.0,0.0,-856.0,1,1020,0.0,0.0,0,1125000.0,119108.25,0.0,41233.5,0.0,0.0,6979.86,50484.0,499,5.0,0.0,4.093023255813954,0.0,0.0
1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,225000.0,688500.0,35284.5,688500.0,0.014464,33,-2863,4.0,2,2,0.2357248684242011,0.3220503833900294,0.266456808245056,2.0,0.0,2.0,0.0,-1351.0,0,1351,0.0,11772.45,0,355500.0,328599.0,0.0,35550.0,0.3409090909090909,0.3409090909090909,20942.58,251447.4,63,18.0,1.44,5.04,-1401.417,0.0
0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,67500.0,225000.0,9589.5,225000.0,0.025164,36,-1522,2.0,2,2,0.5154780672187087,0.4710270288266977,0.3962195720630885,0.0,0.0,0.0,0.0,-1413.0,1,41,0.0,0.0,0,90000.0,90000.0,0.0,11281.5,0.0,0.0,8791.542,106148.76923076923,12,13.4,0.0,10.092592592592593,-801.2458333333334,0.0
0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,202500.0,568800.0,20560.5,450000.0,0.035792,55,-12863,1.0,2,2,0.5289022852117278,0.6225746857008014,0.5954562029091491,5.0,0.0,5.0,0.0,-2173.0,1,1050,0.0,0.0,0,720000.0,712180.89,0.0,51586.965,0.0,0.0,13741.11,164240.1,161,16.0,0.020833333333333332,5.267123287671233,1485.6164383561643,0.0
1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,247500.0,1800000.0,56002.5,1800000.0,0.010006,25,-2072,2.0,2,2,0.2285108959670132,0.4187843720674378,0.6528965519806539,4.0,0.0,4.0,0.0,-1851.0,1,522,0.0,0.0,0,450000.0,0.0,0.0,45000.0,0.0,0.0,4700.22,49429.5,275,6.666666666666667,0.0,24.666666666666668,0.0,0.0
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,225000.0,450000.0,32877.0,450000.0,0.0145199999999999,36,-1563,2.0,2,2,0.5067734709752272,0.6338207709387748,0.3996756156233169,1.0,0.0,1.0,0.0,-2537.0,1,381,0.0,0.0,0,173250.0,171589.5,0.0,17325.0,0.0,0.0,22582.970999999998,241346.14285714287,90,32.4,0.0,4.509803921568627,1766.8632352941174,0.0
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,270000.0,1639057.5,67639.5,1530000.0,0.072508,31,-467,3.0,1,1,0.6384267148737641,0.5590787066797407,0.0005272652387098,0.0,0.0,0.0,0.0,-435.0,1,695,0.0,13492.71,0,1350000.0,1065604.815,0.0,18279.495,0.17391304347826086,0.17391304347826086,13930.335,99808.875,435,5.0,0.0,2.3488372093023258,-538.9838372093024,0.0
0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,139500.0,208512.0,21892.5,180000.0,0.026392,35,-393,3.0,2,2,0.3186460295296844,0.5769872541949774,0.1500851762342935,2.0,1.0,2.0,1.0,-1473.0,1,1340,0.0,2988.0,0,337500.0,316426.5,0.0,33750.0,0.06666666666666667,0.06666666666666667,24483.4425,208409.625,182,9.0,0.0,18.666666666666668,3811.395000000001,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,157500.0,550980.0,43659.0,450000.0,0.04622,45,-94,3.0,1,1,0.457435556984406,0.5993044589673225,0.1027820144199289,0.0,0.0,0.0,0.0,-235.0,1,231,0.0,0.0,0,270000.0,259326.0,0.0,27000.0,0.0,0.0,8653.7025,96381.0,235,6.0,0.0,9.478260869565217,0.0,0.0
